               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 125,            0.024943,            0.027353,            0.024039,             0.54711,             0.87611,             0.67417,             0.47966,            0.025959,            0.027614,            0.024935,          0.00025785,          0.00025785,          0.00025785
                 126,            0.025255,            0.027769,            0.023564,             0.53356,             0.88595,             0.67186,             0.47419,            0.026042,            0.027564,            0.024555,          0.00025359,          0.00025359,          0.00025359
                 127,            0.024989,            0.028142,            0.023431,             0.55002,             0.87281,             0.67095,             0.47045,            0.026324,            0.027614,            0.024557,          0.00024948,          0.00024948,          0.00024948
                 128,            0.024833,            0.027586,            0.023603,             0.54156,              0.8699,             0.67009,             0.47231,               0.026,            0.027462,            0.024363,          0.00024552,          0.00024552,          0.00024552
                 129,            0.024931,            0.027507,            0.023665,             0.54032,             0.88513,             0.67355,              0.4745,            0.026175,            0.027579,            0.024359,          0.00024172,          0.00024172,          0.00024172
                 130,            0.024871,            0.026612,            0.023493,             0.55511,             0.87595,             0.67557,             0.47295,            0.026456,            0.027636,            0.024356,          0.00023807,          0.00023807,          0.00023807
                 131,            0.025248,            0.027578,            0.023487,             0.55303,             0.87296,             0.66924,             0.47152,            0.026301,            0.027662,            0.024685,          0.00023458,          0.00023458,          0.00023458
                 132,            0.024761,            0.026704,            0.023391,             0.54007,             0.89325,             0.66973,             0.47094,            0.026155,            0.027489,            0.024458,          0.00023125,          0.00023125,          0.00023125
                 133,            0.024915,            0.027971,            0.023187,             0.53949,             0.88619,             0.67323,             0.47813,            0.025893,            0.027368,            0.024353,          0.00022809,          0.00022809,          0.00022809
                 134,             0.02469,            0.027543,            0.023454,             0.54846,             0.89016,             0.67138,             0.47486,             0.02609,            0.027483,            0.024429,          0.00022509,          0.00022509,          0.00022509
                 135,            0.024833,            0.026502,            0.023406,             0.55608,             0.87497,             0.67564,             0.47392,             0.02618,            0.027477,            0.024338,          0.00022225,          0.00022225,          0.00022225
                 136,            0.024838,            0.027562,            0.023387,             0.56763,             0.85276,             0.67297,             0.47487,            0.026029,            0.027442,            0.024502,          0.00021958,          0.00021958,          0.00021958
                 137,             0.02496,            0.027683,            0.023291,             0.53991,             0.89265,             0.67252,             0.47555,            0.026048,            0.027477,            0.024384,          0.00021707,          0.00021707,          0.00021707
                 138,            0.024733,            0.027657,             0.02311,             0.54288,             0.90054,             0.67536,             0.47531,            0.026189,            0.027452,            0.024161,          0.00021473,          0.00021473,          0.00021473
                 139,            0.024611,             0.02762,            0.023337,             0.54243,             0.89582,             0.67079,             0.47362,            0.026042,             0.02742,            0.024563,          0.00021257,          0.00021257,          0.00021257
                 140,            0.024668,            0.027471,            0.023474,             0.55337,             0.87604,             0.66757,             0.46991,            0.026192,            0.027477,             0.02454,          0.00021057,          0.00021057,          0.00021057
                 141,             0.02466,            0.026989,            0.023347,             0.54598,             0.88427,             0.67002,             0.47468,            0.026059,            0.027508,             0.02433,          0.00020874,          0.00020874,          0.00020874
                 142,            0.024701,            0.027515,            0.023247,             0.55423,             0.86065,             0.67053,             0.47587,            0.025926,             0.02737,            0.024523,          0.00020709,          0.00020709,          0.00020709
                 143,            0.024762,            0.027195,            0.022649,             0.55301,              0.8708,             0.67645,             0.47413,             0.02626,            0.027456,            0.024263,           0.0002056,           0.0002056,           0.0002056
                 144,            0.024733,            0.027459,            0.022968,             0.55139,             0.89295,             0.67595,              0.4771,            0.025913,            0.027308,            0.024327,          0.00020429,          0.00020429,          0.00020429
                 145,            0.024618,            0.026468,            0.023313,             0.55932,             0.86872,             0.67853,             0.47624,            0.026226,            0.027521,            0.024334,          0.00020315,          0.00020315,          0.00020315
                 146,            0.024539,            0.027381,            0.022836,             0.56349,             0.86058,             0.67334,             0.47353,            0.026277,             0.02766,            0.024384,          0.00020219,          0.00020219,          0.00020219
                 147,            0.024684,            0.027274,            0.023005,             0.55159,             0.88412,             0.67988,             0.48058,            0.025841,            0.027222,             0.02406,           0.0002014,           0.0002014,           0.0002014
                 148,            0.024351,            0.026297,              0.0229,             0.55297,              0.8906,             0.68057,             0.47677,            0.026363,            0.027612,            0.024224,          0.00020079,          0.00020079,          0.00020079
                 149,            0.024574,            0.027599,            0.023272,             0.55151,             0.87785,             0.67556,             0.47727,            0.026091,            0.027523,            0.024145,          0.00020035,          0.00020035,          0.00020035
